revision,date,author,number_of_lines,comment
1547493,"2015-11-19 06:31:05 +0000 (Thu, 19 Nov 2015)",Vincent,4,
1546917,"2015-11-18 09:06:34 +0000 (Wed, 18 Nov 2015)",Vincent,3,chrome_cast_support_feature= true. enabled on Frontier.
1546493,"2015-11-17 15:38:50 +0000 (Tue, 17 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1546460,"2015-11-17 14:56:49 +0000 (Tue, 17 Nov 2015)",Vincent,3,reverted changes of Revision: 1545628
1546414,"2015-11-17 14:09:45 +0000 (Tue, 17 Nov 2015)",Thomas,7,Fixed FTRPC-410: Frontier - Favorited Documents is not showing up under favorite tile.
1545714,"2015-11-16 15:35:27 +0000 (Mon, 16 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1545674,"2015-11-16 14:47:41 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Reverted to older cloud sdk
1545670,"2015-11-16 14:40:00 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Reverted to older cloud sdk
1545663,"2015-11-16 14:35:39 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Changed minSDK
1545657,"2015-11-16 14:30:47 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Dropped SDK version
1545652,"2015-11-16 14:26:50 +0000 (Mon, 16 Nov 2015)",Jimmy,1,UPdated
1545628,"2015-11-16 13:45:04 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Added sfr module
1544560,"2015-11-12 20:10:20 +0000 (Thu, 12 Nov 2015)",Dave,1,fix the build for the jacoco agent warnings
1544422,"2015-11-12 15:48:11 +0000 (Thu, 12 Nov 2015)",Jimmy,1,FRT only
1544421,"2015-11-12 15:47:49 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Fixed unit test
1544404,"2015-11-12 15:31:13 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Fixed unit test
1544362,"2015-11-12 14:37:08 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Modified test
1544360,"2015-11-12 14:31:35 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Modified test
1544350,"2015-11-12 14:27:36 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Modified app Target version
1544342,"2015-11-12 14:16:04 +0000 (Thu, 12 Nov 2015)",Jimmy,1,FTRPC-119
1544339,"2015-11-12 14:11:02 +0000 (Thu, 12 Nov 2015)",Jimmy,1,FTRPC-119
1544282,"2015-11-12 11:44:34 +0000 (Thu, 12 Nov 2015)",Thomas,3,Merged from trunk: ANDINTL-3373: 15.2 | 15.2.30 | PC Home Screen | Search functionality is not working within the Timeline Month Folders [from revision 1543798]
1544253,"2015-11-12 10:32:06 +0000 (Thu, 12 Nov 2015)",Thomas,2,PHONE-2008: Phone 2.0 - Photos/ Songs/ Documents fonts should be bold on home screen. [from revision 1543831]
1544250,"2015-11-12 10:27:58 +0000 (Thu, 12 Nov 2015)",Thomas,5,Merged: ANDINTL-3667: 15.3:Album count is not getting updated after we delete all photos [from revision 1544231]
1541334,"2015-11-05 16:31:34 +0000 (Thu, 05 Nov 2015)",Vincent,5,
1540927,"2015-11-04 20:47:04 +0000 (Wed, 04 Nov 2015)",Vincent,4,default value of this varibale is false for all projects.
1540926,"2015-11-04 20:34:30 +0000 (Wed, 04 Nov 2015)",Vincent,5,I have fixed ArrayIndexoutOfBounds issue. No_Sync issue is still there.
1540834,"2015-11-04 16:37:55 +0000 (Wed, 04 Nov 2015)",Vincent,3,report abuse is disabled for Frontier android client.
1540809,"2015-11-04 16:15:14 +0000 (Wed, 04 Nov 2015)",Vincent,3,invitation is now disabled on Frontier android.
1540172,"2015-11-03 14:59:39 +0000 (Tue, 03 Nov 2015)",Jimmy,1,Enabled all clients
1540168,"2015-11-03 14:50:34 +0000 (Tue, 03 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1540148,"2015-11-03 14:35:14 +0000 (Tue, 03 Nov 2015)",Jimmy,1,Frontier
1539956,"2015-11-03 10:32:49 +0000 (Tue, 03 Nov 2015)",Jimmy,1,Added carriage return
1539933,"2015-11-03 09:59:13 +0000 (Tue, 03 Nov 2015)",Thomas,1,Return imports
1539930,"2015-11-03 09:57:23 +0000 (Tue, 03 Nov 2015)",Thomas,1,PHONE-1855: Phone - Android Prod Cannot Switch Account
1539664,"2015-11-02 15:15:35 +0000 (Mon, 02 Nov 2015)",ajon0002,1,"add string widget_header_update_text, containing generic update message for HomeScreenWidget ViewFlipper TextView."
1539662,"2015-11-02 15:13:19 +0000 (Mon, 02 Nov 2015)",ajon0002,6,"TODO is to hold counts delta per Count.type, instead of in a List, as this is last stop for delta before passing to Intent, which must be as Strings, so do the iterating here."
1539659,"2015-11-02 15:09:41 +0000 (Mon, 02 Nov 2015)",ajon0002,3,Holds delta on Counts between this matrix and previous matrix.
1539656,"2015-11-02 15:06:09 +0000 (Mon, 02 Nov 2015)",ajon0002,4,"TODO: switch generic update message to ""X new photos, Y new files..."" from Matrix delta."
1539654,"2015-11-02 15:02:56 +0000 (Mon, 02 Nov 2015)",ajon0002,2,These are not currently used.
1539651,"2015-11-02 15:00:59 +0000 (Mon, 02 Nov 2015)",ajon0002,1,Make HomeScreenWidget vertically resizeable.
1539648,"2015-11-02 15:00:06 +0000 (Mon, 02 Nov 2015)",ajon0002,2,VF containts logo and TextView for update msg. Visibility toggled on update.
1539645,"2015-11-02 14:58:00 +0000 (Mon, 02 Nov 2015)",ajon0002,2,Initialises ACTION_UPDATE_COUNT intent and sends broadcast for HomeScreenWidget.
1539640,"2015-11-02 14:55:02 +0000 (Mon, 02 Nov 2015)",ajon0002,3,Add getter for delta.
1539452,"2015-11-02 11:38:15 +0000 (Mon, 02 Nov 2015)",Thomas,1,AMXPC-22: Incorporate new In-App Purchase Flows into Titans Android 15.2 client for Titans
1539443,"2015-11-02 11:32:59 +0000 (Mon, 02 Nov 2015)",Thomas,1,Changed to the frontier prod endpoints
1539019,"2015-10-30 16:07:02 +0000 (Fri, 30 Oct 2015)",Thomas,1,Disabled buddy sync for amx cient
1538990,"2015-10-30 15:30:32 +0000 (Fri, 30 Oct 2015)",Thomas,1,Removed default settings
1538828,"2015-10-30 12:22:31 +0000 (Fri, 30 Oct 2015)",Jimmy,1,Homescreen merge
1538795,"2015-10-30 11:13:31 +0000 (Fri, 30 Oct 2015)",Thomas,1,Set up dev and prod to amxpc labs
1538793,"2015-10-30 11:09:24 +0000 (Fri, 30 Oct 2015)",Thomas,1,Set up qa to amxpc-api
1538454,"2015-10-29 15:24:47 +0000 (Thu, 29 Oct 2015)",Thomas,2,"PHONE-1759: Error ""WiFi Connection is Lost"" during initial backup while connected to WiFi"
1538444,"2015-10-29 15:13:29 +0000 (Thu, 29 Oct 2015)",Thomas,1,FTRPC-160: Frontier Android || Favorite icon is not shown for some of the PDF files
1538425,"2015-10-29 14:49:23 +0000 (Thu, 29 Oct 2015)",Thomas,1,Fixed typo
1538416,"2015-10-29 14:38:14 +0000 (Thu, 29 Oct 2015)",Thomas,1,Fixed typo
1538410,"2015-10-29 14:30:41 +0000 (Thu, 29 Oct 2015)",Thomas,2,Merged from main line: Fixed ANDINTL-3815 User is able to create two or more albums with the same name.
1538393,"2015-10-29 13:55:08 +0000 (Thu, 29 Oct 2015)",Thomas,1,FTRPC-201: Frontier Android || Contextual menu options positions changing when selecting the files
1538367,"2015-10-29 13:12:13 +0000 (Thu, 29 Oct 2015)",Thomas,1,Remove empty dirs
1538359,"2015-10-29 13:03:24 +0000 (Thu, 29 Oct 2015)",Thomas,1,"FTRPC-152: Frontier Android Tablet || ""Available Offline"" is been displayed when user multi select time line photos(select Monts)"
1538288,"2015-10-29 11:30:26 +0000 (Thu, 29 Oct 2015)",Thomas,1,Removed qa_wl builds
1538283,"2015-10-29 11:25:18 +0000 (Thu, 29 Oct 2015)",Thomas,1,FTRPC-133: Frontier Android || User doesn't recieves a notification when a a file is shared with them
1538264,"2015-10-29 10:59:57 +0000 (Thu, 29 Oct 2015)",Jimmy,1,BTPC-70
1538234,"2015-10-29 10:05:43 +0000 (Thu, 29 Oct 2015)",Jimmy,1,FTRPC-191
1538198,"2015-10-29 08:46:06 +0000 (Thu, 29 Oct 2015)",Thomas,1,Moved id splash_parent to ids.xml
1537920,"2015-10-28 15:10:05 +0000 (Wed, 28 Oct 2015)",Thomas,2,Missed file
1537919,"2015-10-28 15:07:07 +0000 (Wed, 28 Oct 2015)",Thomas,1,Uopdated ignores
1537915,"2015-10-28 15:02:17 +0000 (Wed, 28 Oct 2015)",Thomas,1,FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier
1537911,"2015-10-28 14:57:51 +0000 (Wed, 28 Oct 2015)",Thomas,1,Added ignores
1537697,"2015-10-28 09:36:03 +0000 (Wed, 28 Oct 2015)",Jimmy,1,Removed client-att and mct-att
1537528,"2015-10-27 18:12:29 +0000 (Tue, 27 Oct 2015)",Vincent,1,"FTRPC-199 : Frontier Android || Instead of ""All Files"", ""Files"" is displaying in Hamburger menu"
1537485,"2015-10-27 16:58:28 +0000 (Tue, 27 Oct 2015)",Jimmy,1,Removed client-att and mct-att
1537460,"2015-10-27 16:28:16 +0000 (Tue, 27 Oct 2015)",Jimmy,1,Enabled spanishclaros and telcel clients
1537454,"2015-10-27 16:04:20 +0000 (Tue, 27 Oct 2015)",Jimmy,1,Added telcel folder
1537452,"2015-10-27 16:01:15 +0000 (Tue, 27 Oct 2015)",Jimmy,1,Added spanishclaros folder
1537319,"2015-10-27 13:15:19 +0000 (Tue, 27 Oct 2015)",Vincent,2,
1536385,"2015-10-23 17:03:31 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Lint fix
1536330,"2015-10-23 16:07:36 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Lint fix
1536312,"2015-10-23 15:53:51 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Legacy app uninstall
1536311,"2015-10-23 15:53:31 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Legacy app uninstall
1536126,"2015-10-23 13:40:49 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Legacy app uninstall
1536118,"2015-10-23 13:30:01 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Legacy app uninstall
1536037,"2015-10-23 11:57:54 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Lint fix
1536002,"2015-10-23 10:59:01 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Reverted to prod urls
1535957,"2015-10-23 10:00:03 +0100 (Fri, 23 Oct 2015)",Jimmy,1,Added incompatibilty fragment
1535594,"2015-10-22 14:42:26 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Lint fix
1535593,"2015-10-22 14:40:39 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Added incpmpatible legacy client parameter
1535587,"2015-10-22 14:35:31 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Lint fix
1535571,"2015-10-22 14:23:01 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Removed unused resources
1535537,"2015-10-22 14:08:58 +0100 (Thu, 22 Oct 2015)",Jimmy,1,lint fix
1535523,"2015-10-22 13:52:30 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Enabled BT module
1535517,"2015-10-22 13:42:47 +0100 (Thu, 22 Oct 2015)",Jimmy,1,BT Addition
1535516,"2015-10-22 13:36:58 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Widget colors
1535453,"2015-10-22 11:26:04 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Widget
1535452,"2015-10-22 11:25:35 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Widget
1535451,"2015-10-22 11:25:18 +0100 (Thu, 22 Oct 2015)",Jimmy,1,Widget
1533128,"2015-10-16 11:55:48 +0100 (Fri, 16 Oct 2015)",Thomas,2,PHONE-1409: Phone - Scheduled Maintenance Not Working as Expected
1533115,"2015-10-16 11:32:58 +0100 (Fri, 16 Oct 2015)",Thomas,1,FTRPC-117: Frontier Android Handset || App icon is not matching as per Branding parameters
1533097,"2015-10-16 11:13:18 +0100 (Fri, 16 Oct 2015)",Thomas,1,Added AMXPC jira project to jira report
1533092,"2015-10-16 11:04:56 +0100 (Fri, 16 Oct 2015)",Thomas,1,Updated build files to support Jira reports per clients
1532755,"2015-10-15 16:50:56 +0100 (Thu, 15 Oct 2015)",Thomas,2,
1532018,"2015-10-14 14:51:25 +0100 (Wed, 14 Oct 2015)",Jimmy,1,Widget update
1532015,"2015-10-14 14:49:17 +0100 (Wed, 14 Oct 2015)",Jimmy,1,Widget update
1531912,"2015-10-14 12:50:27 +0100 (Wed, 14 Oct 2015)",Jimmy,1,Re enabled client modules
1531903,"2015-10-14 12:40:19 +0100 (Wed, 14 Oct 2015)",Jimmy,1,Spike for app removal
1531479,"2015-10-13 15:54:58 +0100 (Tue, 13 Oct 2015)",Thomas,4,
1530186,"2015-10-09 14:34:54 +0100 (Fri, 09 Oct 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1530155,"2015-10-09 13:58:14 +0100 (Fri, 09 Oct 2015)",Thomas,1,Bumped version to 15.2.30.18
1530104,"2015-10-09 12:52:44 +0100 (Fri, 09 Oct 2015)",Jimmy,1,Disabled at&t module
1530087,"2015-10-09 12:30:40 +0100 (Fri, 09 Oct 2015)",Jimmy,1,Lint fix
1530077,"2015-10-09 12:10:54 +0100 (Fri, 09 Oct 2015)",Jimmy,1,Added new homescreen
1530022,"2015-10-09 11:17:08 +0100 (Fri, 09 Oct 2015)",Thomas,1,Added lint ignores
1530019,"2015-10-09 11:09:59 +0100 (Fri, 09 Oct 2015)",Thomas,1,Added lint ignores
1529976,"2015-10-09 10:13:54 +0100 (Fri, 09 Oct 2015)",Thomas,1,Updated strings
1529934,"2015-10-09 09:24:07 +0100 (Fri, 09 Oct 2015)",Thomas,1,Revert back some assets
1529923,"2015-10-09 09:06:45 +0100 (Fri, 09 Oct 2015)",Thomas,1,"Added qa and qa_wl build types, renamed app."
1529916,"2015-10-09 08:55:33 +0100 (Fri, 09 Oct 2015)",Thomas,1,Updated assets
1529913,"2015-10-09 08:53:15 +0100 (Fri, 09 Oct 2015)",Thomas,1,Removed unused resources
1529617,"2015-10-08 14:55:59 +0100 (Thu, 08 Oct 2015)",Thomas,2,http://confluence.company.net:8085/display/PRO/Frontier+PC+PROD
1529611,"2015-10-08 14:49:55 +0100 (Thu, 08 Oct 2015)",Thomas,1,Enabled client-frt client
1529597,"2015-10-08 14:38:16 +0100 (Thu, 08 Oct 2015)",Thomas,1,Copy to android-15.2-solutions
1528989,"2015-10-07 15:19:21 +0100 (Wed, 07 Oct 2015)",Thomas,1,PHONE-1420: CLONE - [15.2]The first file thumbnail is not dispalyed properly in landscape mode
1528947,"2015-10-07 14:44:23 +0100 (Wed, 07 Oct 2015)",Thomas,1,Updated more strings
1528925,"2015-10-07 14:23:29 +0100 (Wed, 07 Oct 2015)",Thomas,1,Simplified app versioning
1528923,"2015-10-07 14:19:38 +0100 (Wed, 07 Oct 2015)",Thomas,1,PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon
1528922,"2015-10-07 14:19:14 +0100 (Wed, 07 Oct 2015)",Thomas,1,PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon
1528797,"2015-10-07 11:06:28 +0100 (Wed, 07 Oct 2015)",Thomas,1,Remove att permission from manifest
1528782,"2015-10-07 10:45:54 +0100 (Wed, 07 Oct 2015)",Thomas,2,ANDINTL-3163 - enable the application to be installed on top of Ready 2 Go and Verizon cloud
1528452,"2015-10-06 16:15:27 +0100 (Tue, 06 Oct 2015)",Thomas,1,Enabled client-amx client
1528449,"2015-10-06 16:07:38 +0100 (Tue, 06 Oct 2015)",Thomas,1,"Fixed NPE for amx client, changed amx client name"
1528422,"2015-10-06 15:36:53 +0100 (Tue, 06 Oct 2015)",Thomas,1,Added ignores
1528416,"2015-10-06 15:28:51 +0100 (Tue, 06 Oct 2015)",Thomas,1,Implements HelpFragment.Callback
1528414,"2015-10-06 15:27:59 +0100 (Tue, 06 Oct 2015)",Thomas,1,Added help_fragment_icon.png
1528412,"2015-10-06 15:26:10 +0100 (Tue, 06 Oct 2015)",Thomas,1,Added help fragment colors
1528411,"2015-10-06 15:23:31 +0100 (Tue, 06 Oct 2015)",Thomas,2,Help CR: http://confluence.company.net:8085/display/CSE/Titans+Android+Help+CR [from revision 1520497]
1528409,"2015-10-06 15:21:35 +0100 (Tue, 06 Oct 2015)",Thomas,1,Merge fragment_help.xml from amx branch
1528404,"2015-10-06 15:18:18 +0100 (Tue, 06 Oct 2015)",Thomas,1,Merge HelpFragment.java from amx branch
1528397,"2015-10-06 15:13:00 +0100 (Tue, 06 Oct 2015)",Thomas,1,Merged from android-15.2-solutions-amx branch
1527179,"2015-10-02 16:23:05 +0100 (Fri, 02 Oct 2015)",Thomas,2,PHONE-1415: CLONE - [15.2][PC] Screen rotates at some pages even though auto-rotation is OFF in device.
1527029,"2015-10-02 13:24:26 +0100 (Fri, 02 Oct 2015)",Thomas,2,"PHONE-1529: ATT Android || The file which is downloading for Available offline, if canceled not playing even with wifi [from revision 1527022]"
1526939,"2015-10-02 10:15:40 +0100 (Fri, 02 Oct 2015)",Thomas,2,PHONE-1342: Phone - Rename a Photo in an Album using the Web Returns Error Getting Info on Handset [from revision 1526937]
1526558,"2015-10-01 13:25:23 +0100 (Thu, 01 Oct 2015)",Thomas,1,PHONE-1377: Phone 2.0 - All files - Folder - Get info - Failure
1526549,"2015-10-01 13:18:27 +0100 (Thu, 01 Oct 2015)",Jimmy,1,Added lint suppress
1526501,"2015-10-01 12:29:00 +0100 (Thu, 01 Oct 2015)",Jimmy,1,Added handling for R2G
1525171,"2015-09-29 14:08:40 +0100 (Tue, 29 Sep 2015)",Jimmy,1,Added handling for R2G
1525124,"2015-09-29 12:49:38 +0100 (Tue, 29 Sep 2015)",Jimmy,1,Added settings as a main activity to launch
1525067,"2015-09-29 11:55:33 +0100 (Tue, 29 Sep 2015)",Jimmy,1,Lint fix
1525056,"2015-09-29 11:50:00 +0100 (Tue, 29 Sep 2015)",Jimmy,1,Added custom permission to receiver
1525043,"2015-09-29 11:36:56 +0100 (Tue, 29 Sep 2015)",Jimmy,1,Lint fix
1525032,"2015-09-29 11:31:00 +0100 (Tue, 29 Sep 2015)",Jimmy,1,Added r2g permission
1525020,"2015-09-29 11:22:15 +0100 (Tue, 29 Sep 2015)",Jimmy,1,Added R2G config
1524333,"2015-09-28 11:47:57 +0100 (Mon, 28 Sep 2015)",Jimmy,1,Modified broadcast receiver for R2G
1523786,"2015-09-25 14:35:53 +0100 (Fri, 25 Sep 2015)",Thomas,1,PHONE-1163: Phone 2.0 - Music player in lock screen view has a cut off.
1523768,"2015-09-25 14:15:11 +0100 (Fri, 25 Sep 2015)",Jimmy,1,Initial addition for R2G classes
1523643,"2015-09-25 11:35:42 +0100 (Fri, 25 Sep 2015)",Jimmy,1,CR023: Phone globe for the mobile client splash screen
1521833,"2015-09-22 14:23:03 +0100 (Tue, 22 Sep 2015)",Thomas,1,Fixed libpng warning: iCCP: Not recognizing known sRGB profile that has been edited
1520473,"2015-09-18 14:08:32 +0100 (Fri, 18 Sep 2015)",Jimmy,1,Auth failure error codes
1520031,"2015-09-17 15:02:43 +0100 (Thu, 17 Sep 2015)",Thomas,1,PHONE-1388: Att Locker - AMZ Fire - Share by Me - Manage Share: Crashes Locker
1519600,"2015-09-16 15:05:40 +0100 (Wed, 16 Sep 2015)",Thomas,1,Removed &amp;#160;
1519555,"2015-09-16 14:19:18 +0100 (Wed, 16 Sep 2015)",Thomas,1,PHONE-1391: Phone 2.0 - unexpected notification while downloading on low battery.
1519330,"2015-09-16 08:42:42 +0100 (Wed, 16 Sep 2015)",Jimmy,1,PHONE-1318
1517160,"2015-09-10 17:34:36 +0100 (Thu, 10 Sep 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1516858,"2015-09-10 11:03:36 +0100 (Thu, 10 Sep 2015)",Jimmy,1,PHONE-1318
1516801,"2015-09-10 09:49:48 +0100 (Thu, 10 Sep 2015)",Jimmy,1,Seperated strings for shares from main strings files
1516395,"2015-09-09 15:10:46 +0100 (Wed, 09 Sep 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1516364,"2015-09-09 14:45:52 +0100 (Wed, 09 Sep 2015)",Jimmy,1,Remove report abusive content
1516286,"2015-09-09 13:23:06 +0100 (Wed, 09 Sep 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1516221,"2015-09-09 11:37:11 +0100 (Wed, 09 Sep 2015)",Thomas,2,Added extra check if we have that size or not.
1516206,"2015-09-09 11:18:13 +0100 (Wed, 09 Sep 2015)",Thomas,1,PHONE-1316: ATT Android || Available offline icon is hardly visible in documents screen
1516182,"2015-09-09 10:57:24 +0100 (Wed, 09 Sep 2015)",Thomas,1,PHONE-1125: ATT Android || Available offline is displaying only when we select min 2 files. That to this feature is integrated only in docs and no where else
1516140,"2015-09-09 09:54:23 +0100 (Wed, 09 Sep 2015)",Thomas,1,Added back empty sliding_menu_header
1516124,"2015-09-09 09:35:37 +0100 (Wed, 09 Sep 2015)",Jimmy,1,String updates
1516078,"2015-09-09 08:36:04 +0100 (Wed, 09 Sep 2015)",Jimmy,1,String updates
